Fecha,Precipitacion_mm,Temperatura_C,Humedad_Relativa_%,Velocidad_Viento_m_s,Humedad_Suelo_Superficie_m3_m3,Humedad_Suelo_Raices_m3_m3,Radiacion_Solar_MJ_m2
2011-08-07,2.74,23.21,80.23,0.14,0.40706443786621094,0.41491444905598956,17.71
2011-08-08,0.09,24.3,72.49,0.16,0.4022388458251953,0.4101524353027344,22.82
2011-08-09,0.51,24.05,74.14,0.69,0.38283856709798175,0.4029528299967448,20.17
2011-08-10,0.61,24.17,70.63,0.47,0.3707459767659505,0.395999272664388,19.85
2011-08-11,0.57,24.4,69.13,0.14,0.36030324300130206,0.38922373453776044,20.64
2011-08-12,0.27,23.3,74.33,0.15,0.35097821553548175,0.38287989298502606,16.33
2011-08-13,3.44,22.77,77.78,0.9,0.3590373992919922,0.3779792785644531,18.82
2011-08-14,3.58,22.86,80.57,0.96,0.3817850748697917,0.37457529703776044,18.95
2011-08-15,2.36,23.09,80.14,0.34,0.38088734944661456,0.37214024861653644,17.77
2011-08-16,4.98,22.74,80.46,0.39,0.4030628204345703,0.37151654561360675,19.0
2011-08-17,5.07,22.58,81.48,0.22,0.4076118469238281,0.37267621358235675,20.02
2011-08-18,7.84,22.98,80.84,0.2,0.4349772135416667,0.3787759145100911,17.85
2011-08-19,10.22,22.17,88.1,0.2,0.45697593688964844,0.399044672648112,15.57
2011-08-20,4.21,22.22,86.46,0.14,0.4486509958902995,0.41725730895996094,16.47
2011-08-21,1.86,22.71,80.8,0.43,0.4391180674235026,0.4213250478108724,19.15
2011-08-22,1.6,22.84,79.38,0.24,0.4214528401692708,0.41792551676432294,19.71
2011-08-23,4.65,22.32,83.62,0.59,0.425991694132487,0.41391754150390625,16.71
2011-08-24,22.11,21.97,86.23,0.69,0.4679876963297526,0.4529914855957031,12.91
2011-08-25,6.97,22.45,84.33,0.28,0.47130393981933594,0.46078745524088544,14.43
2011-08-26,16.01,23.32,81.09,0.32,0.4635569254557292,0.4608580271402995,17.64
2011-08-27,12.27,22.85,82.34,0.09,0.4490655263264974,0.4588921864827474,17.22
2011-08-28,7.48,22.73,83.44,0.49,0.45693079630533856,0.46300633748372394,16.99
2011-08-29,4.09,22.8,81.07,0.12,0.4291954040527344,0.4511648813883464,14.5
2011-08-30,1.39,23.35,79.69,0.36,0.4376182556152344,0.4439493815104167,19.34
2011-08-31,0.53,24.18,74.88,0.41,0.4260323842366536,0.4363994598388672,20.96
2011-09-01,1.23,24.23,76.67,0.19,0.4134712219238281,0.4282004038492839,17.12
2011-09-02,3.71,23.34,75.59,0.33,0.41656748453776044,0.4223670959472656,13.02
2011-09-03,5.5,22.39,80.26,0.53,0.4332574208577474,0.42064666748046875,15.29
2011-09-04,1.42,22.74,77.0,0.05,0.4418786366780599,0.42489178975423175,20.5
2011-09-05,0.89,23.26,74.83,0.17,0.42218271891276044,0.42224375406901044,21.15
2011-09-06,0.29,24.31,69.36,0.44,0.40510813395182294,0.4161211649576823,24.42
2011-09-07,1.15,24.66,69.56,0.87,0.3870340983072917,0.4079119364420573,21.49
2011-09-08,11.14,22.88,83.69,0.4,0.3952903747558594,0.40153249104817706,17.78
2011-09-09,20.72,21.04,89.84,0.54,0.45786603291829425,0.4533729553222656,12.79
2011-09-10,29.56,22.04,85.11,0.35,0.44944000244140625,0.4679114023844401,14.62
2011-09-11,6.26,22.2,85.48,0.44,0.4641774495442708,0.45972251892089844,17.18
2011-09-12,9.33,22.33,85.48,0.36,0.4719594319661458,0.4612159729003906,14.26
2011-09-13,8.87,23.11,81.57,0.15,0.465091069539388,0.4710502624511719,13.93
2011-09-14,14.32,23.44,81.73,0.4,0.4372844696044922,0.45792388916015625,19.72
2011-09-15,4.83,23.29,78.76,0.09,0.4687945048014323,0.4713560740152995,20.43
2011-09-16,12.49,22.94,84.09,0.68,0.44834327697753906,0.4627087910970052,17.53
2011-09-17,18.53,22.0,84.79,0.48,0.4668172200520833,0.45715904235839844,18.36
2011-09-18,20.29,21.71,87.49,0.14,0.4605216979980469,0.45639801025390625,11.52
2011-09-19,12.78,22.02,85.31,0.23,0.46741612752278644,0.4560864766438802,19.83
2011-09-20,24.99,21.95,84.31,0.26,0.4591693878173828,0.4683036804199219,16.87
2011-09-21,2.87,22.99,81.48,0.33,0.4541422526041667,0.4529673258463542,20.41
2011-09-22,0.99,22.93,78.36,0.56,0.44365374247233075,0.4452095031738281,19.23
2011-09-23,1.12,22.91,81.93,1.11,0.4304491678873698,0.4379889170328776,19.36
2011-09-24,5.44,22.83,84.91,0.8,0.43463579813639325,0.4323234558105469,16.41
2011-09-25,15.02,22.15,90.56,0.23,0.46621068318684894,0.4450060526529948,12.67
2011-09-26,2.47,22.1,85.57,0.67,0.458889643351237,0.4678427378336589,14.36
2011-09-27,9.73,23.39,83.06,0.1,0.45888710021972656,0.4653511047363281,20.07
2011-09-28,2.12,23.5,82.27,0.22,0.46066538492838544,0.4697532653808594,21.06
2011-09-29,6.79,23.38,82.44,0.15,0.46592140197753906,0.4632886250813802,18.63
2011-09-30,9.5,23.05,82.07,0.17,0.4337304433186849,0.4592094421386719,20.42
2011-10-01,6.94,22.95,84.86,0.02,0.4558919270833333,0.4505011240641276,18.35
2011-10-02,1.61,22.97,81.95,0.29,0.45650672912597656,0.4524879455566406,19.32
2011-10-03,3.66,23.08,83.15,0.93,0.445770263671875,0.447265625,19.75
2011-10-04,7.63,22.5,87.01,0.46,0.45484034220377606,0.4454447428385417,19.36
2011-10-05,15.15,21.94,86.21,0.06,0.4754416147867839,0.46853892008463544,17.36
2011-10-06,11.95,21.78,88.03,0.29,0.4637928009033203,0.4674695332845052,16.74
2011-10-07,12.98,21.73,89.02,0.42,0.4417603810628255,0.46549733479817706,13.03
2011-10-08,5.38,22.43,85.46,0.44,0.45518747965494794,0.4528605143229167,17.1
2011-10-09,5.85,21.67,89.71,0.52,0.46582921346028644,0.4534066518147786,10.16
2011-10-10,16.25,21.81,88.15,0.17,0.4645620981852214,0.4678535461425781,11.85
2011-10-11,15.69,21.85,89.4,0.1,0.4703184763590495,0.46765581766764325,15.46
2011-10-12,27.52,21.35,90.99,0.11,0.4584229787190755,0.4605592091878255,12.85
2011-10-13,7.86,20.93,90.79,0.53,0.463382085164388,0.4691333770751953,10.53
2011-10-14,17.86,21.77,87.54,0.17,0.46709950764973956,0.4687703450520833,16.69
2011-10-15,45.24,20.89,93.68,0.37,0.4703330993652344,0.47426414489746094,9.84
2011-10-16,13.88,20.74,89.86,0.3,0.4826132456461589,0.47000567118326825,10.7
2011-10-17,21.98,20.59,90.78,0.75,0.47049204508463544,0.47391510009765625,10.87
2011-10-18,21.11,19.38,93.57,1.04,0.4699026743570964,0.4729576110839844,4.59
2011-10-19,5.3,19.54,90.14,0.71,0.4774163564046224,0.47400538126627606,10.93
2011-10-20,10.12,20.48,86.29,0.49,0.4731915791829427,0.4707266489664714,16.65
2011-10-21,10.13,19.6,88.47,0.64,0.44661585489908856,0.466372807820638,17.13
2011-10-22,3.97,20.13,82.2,0.69,0.4650217692057292,0.46259816487630206,19.83
2011-10-23,1.19,21.48,77.87,0.08,0.4474627176920573,0.4563344319661458,19.43
2011-10-24,5.21,21.2,87.21,0.77,0.45404052734375,0.450775146484375,15.52
2011-10-25,2.76,21.36,85.6,0.85,0.4562829335530599,0.4507891337076823,14.69
2011-10-26,7.03,21.36,87.52,0.06,0.45542144775390625,0.449405034383138,13.86
2011-10-27,6.03,21.38,87.96,0.24,0.4720147450764974,0.4601796468098958,10.1
2011-10-28,5.26,22.14,87.01,0.23,0.4715569814046224,0.4654089609781901,16.98
2011-10-29,12.93,21.68,89.18,0.28,0.4645983378092448,0.4673608144124349,14.45
2011-10-30,12.96,20.88,89.14,0.32,0.4733568827311198,0.4676748911539714,14.93
2011-10-31,3.09,21.23,87.01,0.14,0.4730122884114583,0.474456787109375,12.56
2011-11-01,6.45,21.61,86.73,0.31,0.47136561075846356,0.46921412150065106,15.13
2011-11-02,3.21,22.15,84.44,0.26,0.4647757212320964,0.46749114990234375,18.44
2011-11-03,2.73,22.69,83.69,0.05,0.4605674743652344,0.461422602335612,17.11
2011-11-04,7.55,21.97,86.5,0.52,0.46033350626627606,0.4570763905843099,17.78
2011-11-05,2.04,21.7,85.96,0.15,0.4629599253336589,0.46192169189453125,17.87
2011-11-06,9.48,22.23,86.08,0.19,0.4712104797363281,0.4616508483886719,14.84
2011-11-07,12.04,21.91,87.03,0.32,0.46434466044108075,0.47171592712402344,14.36
2011-11-08,15.12,21.76,87.78,0.2,0.4639110565185547,0.46978314717610675,12.93
2011-11-09,14.27,21.39,91.0,0.44,0.44766998291015625,0.4665342966715495,10.54
2011-11-10,12.91,21.58,88.83,0.2,0.47964223225911456,0.4810689290364583,14.13
2011-11-11,7.66,21.69,87.3,0.13,0.4778645833333333,0.4781901041666667,14.78
2011-11-12,4.22,21.66,86.6,0.73,0.4720935821533203,0.47616322835286456,15.74
2011-11-13,12.04,21.14,90.58,0.84,0.466183344523112,0.473416010538737,13.35
2011-11-14,4.78,21.62,86.55,0.48,0.4417126973470052,0.461184819539388,15.06
2011-11-15,2.13,21.88,85.04,0.85,0.4565308888753255,0.4546152750651042,16.71
2011-11-16,4.62,21.61,87.83,0.93,0.4570503234863281,0.4507973988850911,16.1
2011-11-17,6.57,21.27,87.16,0.37,0.4632879892985026,0.45280011494954425,16.88
2011-11-18,19.17,21.06,86.06,0.15,0.4835198720296224,0.47931671142578125,14.29
2011-11-19,25.56,20.78,89.59,0.64,0.43439356486002606,0.4548575083414714,9.62
2011-11-20,3.66,21.31,85.16,0.88,0.4512990315755208,0.4398447672526042,18.59
2011-11-21,5.33,20.95,88.27,1.22,0.44945526123046875,0.4373009999593099,17.09
2011-11-22,1.47,21.0,83.97,0.67,0.44922447204589844,0.43884849548339844,20.27
2011-11-23,8.84,21.24,87.56,0.35,0.4520606994628906,0.4378623962402344,11.51
2011-11-24,13.73,21.01,89.91,0.19,0.4782867431640625,0.4584808349609375,11.48
2011-11-25,23.12,21.2,90.57,0.04,0.4539635976155599,0.47931861877441406,10.03
2011-11-26,6.96,21.57,87.66,0.07,0.43950653076171875,0.4589544932047526,13.56
2011-11-27,12.07,21.5,87.47,0.06,0.4673194885253906,0.46026357014973956,12.93
2011-11-28,34.78,20.74,94.36,0.11,0.4700431823730469,0.4795366923014323,8.18
2011-11-29,44.07,20.6,91.05,0.48,0.4626293182373047,0.46849950154622394,11.33
2011-11-30,23.88,20.89,92.47,0.52,0.4745489756266276,0.4564342498779297,11.54
2011-12-01,7.14,21.0,90.12,1.06,0.43218040466308594,0.4607226053873698,15.5
2011-12-02,24.66,21.23,91.19,1.22,0.4499797821044922,0.4683081309000651,16.23
2011-12-03,9.15,21.09,89.83,1.49,0.4623406728108724,0.4606558481852214,15.6
2011-12-04,17.21,20.42,91.59,1.48,0.47579193115234375,0.47558339436848956,12.52
2011-12-05,11.55,20.73,90.16,1.03,0.4664293924967448,0.4675299326578776,15.02
2011-12-06,8.5,21.24,89.23,0.89,0.48034413655598956,0.47611236572265625,16.36
2011-12-07,23.73,20.39,93.88,0.79,0.45482126871744794,0.4741598765055339,9.61
2011-12-08,18.42,20.74,92.22,0.34,0.4555918375651042,0.4764569600423177,9.79
2011-12-09,11.78,21.11,87.07,0.23,0.4542357126871745,0.4614429473876953,13.3
2011-12-10,13.56,21.1,90.61,0.62,0.4707908630371094,0.479336420694987,10.69
2011-12-11,6.94,21.28,86.83,0.49,0.47400665283203125,0.4790789286295573,15.36
2011-12-12,23.6,21.24,90.73,0.46,0.47912851969401044,0.484134038289388,11.55
2011-12-13,25.0,21.09,91.74,0.76,0.46375401814778644,0.4535204569498698,12.8
2011-12-14,9.98,21.1,91.63,0.92,0.4729270935058594,0.458828608194987,11.69
2011-12-15,25.07,20.34,94.01,1.06,0.4651629130045573,0.47638893127441406,8.26
2011-12-16,12.12,20.35,91.59,1.31,0.4691734313964844,0.4638385772705078,11.11
2011-12-17,3.43,20.32,88.94,1.49,0.4686133066813151,0.4658120473225911,15.2
2011-12-18,4.79,20.5,88.94,1.46,0.46451250712076825,0.4611123402913411,16.11
2011-12-19,6.57,20.24,89.0,1.68,0.46913401285807294,0.4622669219970703,13.66
2011-12-20,0.12,19.63,74.92,1.45,0.4564952850341797,0.4626299540201823,17.42
2011-12-21,4.3,20.62,85.45,1.71,0.4563922882080078,0.4560750325520833,16.48
2011-12-22,2.99,20.64,85.81,1.67,0.4513193766276042,0.4522533416748047,17.55
2011-12-23,12.64,20.96,88.82,1.72,0.47306569417317706,0.4592755635579427,12.66
2011-12-24,0.88,20.44,73.6,1.64,0.46025848388671875,0.4642658233642578,17.98
2011-12-25,0.23,19.84,79.99,1.62,0.437777837117513,0.4523162841796875,20.19
2011-12-26,0.29,19.96,81.21,1.53,0.4235992431640625,0.4418474833170573,18.79
2011-12-27,3.36,19.72,86.97,1.46,0.41826438903808594,0.4333515167236328,16.64
2011-12-28,2.3,20.78,84.93,0.99,0.43327967325846356,0.42984898885091144,15.31
2011-12-29,3.54,21.05,89.47,1.13,0.4413261413574219,0.4297313690185547,12.99
2011-12-30,1.03,21.24,84.63,1.49,0.43330637613932294,0.4299017588297526,17.0
2011-12-31,2.1,20.66,87.42,1.61,0.4215386708577474,0.4256172180175781,15.52
2012-01-01,2.77,20.91,78.74,1.84,0.4360186258951823,0.42436854044596356,17.69
2012-01-02,3.21,19.94,86.57,1.67,0.42685508728027344,0.4219678243001302,14.11
2012-01-03,5.35,20.47,90.09,1.12,0.4377981821695964,0.4219207763671875,13.64
2012-01-04,3.21,20.33,85.25,1.69,0.44560686747233075,0.4277362823486328,17.83
2012-01-05,13.24,20.32,86.68,1.69,0.46480687459309894,0.4370644887288411,13.92
2012-01-06,2.29,20.23,84.91,1.69,0.4593340555826823,0.4509239196777344,17.64
2012-01-07,1.67,20.12,84.66,1.61,0.44402313232421875,0.4433085123697917,15.76
2012-01-08,0.4,20.2,80.69,1.55,0.4299386342366536,0.4359486897786458,19.33
2012-01-09,0.73,20.01,80.33,1.37,0.4141610463460286,0.4273840586344401,19.86
2012-01-10,2.85,20.31,86.95,1.29,0.41393597920735675,0.42028363545735675,17.12
2012-01-11,7.3,21.19,87.24,1.42,0.44891611735026044,0.423675537109375,16.26
2012-01-12,1.99,20.09,86.01,1.51,0.43428929646809894,0.42631085713704425,14.99
2012-01-13,1.31,20.45,82.49,1.48,0.43005816141764325,0.42373085021972656,16.79
2012-01-14,0.06,20.83,78.04,1.34,0.41393089294433594,0.41887537638346356,19.55
2012-01-15,3.23,19.86,83.71,1.81,0.4002583821614583,0.41206804911295575,15.46
2012-01-16,2.56,19.04,83.14,1.77,0.4187062581380208,0.4090493520100911,15.44
2012-01-17,6.97,19.58,81.51,1.85,0.4444936116536458,0.4148139953613281,12.98
2012-01-18,8.57,20.0,81.59,1.7,0.4525941212972005,0.42558924357096356,19.37
2012-01-19,2.78,19.9,80.85,1.5,0.4469598134358724,0.4316825866699219,20.57
2012-01-20,1.21,18.97,75.82,1.77,0.43030865987141925,0.42723719278971356,19.67
